priority,book_id,book_title,strategy,current_section_id,current_sec_position,action,confidence,current_section_title,canonical_title,stored_word_count,progress_strategy,reason
1,1,O Livro dos Espíritos,full-staging-reconstruction,4143,1,review,unmatched,I,,220,block-migration,No sufficiently reliable canonical relationship was found.
1,1,O Livro dos Espíritos,full-staging-reconstruction,4144,2,review,unmatched,Ii,,1082,block-migration,No sufficiently reliable canonical relationship was found.
1,1,O Livro dos Espíritos,full-staging-reconstruction,4145,3,review,unmatched,Iii,,1186,block-migration,No sufficiently reliable canonical relationship was found.
1,1,O Livro dos Espíritos,full-staging-reconstruction,4146,4,review,unmatched,Iv,,661,block-migration,No sufficiently reliable canonical relationship was found.
1,1,O Livro dos Espíritos,full-staging-reconstruction,4147,5,review,unmatched,V,,655,block-migration,No sufficiently reliable canonical relationship was found.
1,1,O Livro dos Espíritos,full-staging-reconstruction,4148,6,review,unmatched,Vi,,1680,block-migration,No sufficiently reliable canonical relationship was found.
1,1,O Livro dos Espíritos,full-staging-reconstruction,4149,7,review,unmatched,Vii,,1250,block-migration,No sufficiently reliable canonical relationship was found.
1,1,O Livro dos Espíritos,full-staging-reconstruction,4150,8,review,unmatched,Viii,,506,block-migration,No sufficiently reliable canonical relationship was found.
1,1,O Livro dos Espíritos,full-staging-reconstruction,4151,9,review,unmatched,Ix,,595,block-migration,No sufficiently reliable canonical relationship was found.
1,1,O Livro dos Espíritos,full-staging-reconstruction,4152,10,review,unmatched,X,,603,block-migration,No sufficiently reliable canonical relationship was found.
1,1,O Livro dos Espíritos,full-staging-reconstruction,4153,11,review,unmatched,Xi,,269,block-migration,No sufficiently reliable canonical relationship was found.
1,1,O Livro dos Espíritos,full-staging-reconstruction,4154,12,review,unmatched,Xii,,968,block-migration,No sufficiently reliable canonical relationship was found.
1,1,O Livro dos Espíritos,full-staging-reconstruction,4155,13,review,unmatched,Xiii,,587,block-migration,No sufficiently reliable canonical relationship was found.
1,1,O Livro dos Espíritos,full-staging-reconstruction,4156,14,review,unmatched,Xiv,,339,block-migration,No sufficiently reliable canonical relationship was found.
1,1,O Livro dos Espíritos,full-staging-reconstruction,4157,15,review,unmatched,Xv,,731,block-migration,No sufficiently reliable canonical relationship was found.
1,1,O Livro dos Espíritos,full-staging-reconstruction,4158,16,review,unmatched,Xvi,,1383,block-migration,No sufficiently reliable canonical relationship was found.
1,1,O Livro dos Espíritos,full-staging-reconstruction,4159,17,review,unmatched,Xvii,,589,block-migration,No sufficiently reliable canonical relationship was found.
1,1,O Livro dos Espíritos,full-staging-reconstruction,4162,20,review,unmatched,null,,20,block-migration,No sufficiently reliable canonical relationship was found.
1,1,O Livro dos Espíritos,full-staging-reconstruction,4185,43,review,unmatched,null,,79,block-migration,No sufficiently reliable canonical relationship was found.
1,1,O Livro dos Espíritos,full-staging-reconstruction,4267,125,review,unmatched,null,,77,block-migration,No sufficiently reliable canonical relationship was found.
1,1,O Livro dos Espíritos,full-staging-reconstruction,4343,201,review,unmatched,null,,14,block-migration,No sufficiently reliable canonical relationship was found.
1,2,O Livro dos Médiuns,full-staging-reconstruction,4372,2,review,unmatched,null,,19,block-migration,No sufficiently reliable canonical relationship was found.
1,2,O Livro dos Médiuns,full-staging-reconstruction,4382,12,review,unmatched,null,,206,block-migration,No sufficiently reliable canonical relationship was found.
1,2,O Livro dos Médiuns,full-staging-reconstruction,4386,16,review,chapter-aggregate,null,Das manifestações físicas Das mesas girantes,1035,block-migration,No sufficiently reliable canonical relationship was found.
